season,matchday,team,Pts,Sum,GD
2019-2020,36,Real Betis,41.0,0.0,-8.0
2019-2020,36,Real Valladolid,39.0,0.0,-10.0
2019-2020,36,SD Eibar,36.0,0.0,-17.0
2019-2020,36,Alavés,35.0,-5.0,-21.0
2019-2020,36,Celta de Vigo,36.0,0.0,-10.0
2019-2020,36,CD Leganés,29.0,-1.0,-24.0
2019-2020,36,RCD Mallorca,32.0,-1.0,-22.0
2019-2020,36,Espanyol,24.0,-5.0,-28.0
2019-2020,35,Real Madrid,77.0,5.0,41.0
2019-2020,35,Barcelona,73.0,2.0,42.0
2019-2020,35,Atlético Madrid,62.0,4.0,21.0
2019-2020,35,Sevilla FC,60.0,2.0,16.0
2019-2020,35,Villarreal,54.0,2.0,10.0
2019-2020,35,Getafe,53.0,0.0,11.0
2019-2020,35,Real Sociedad,51.0,-2.0,8.0
2019-2020,35,Valencia,47.0,-2.0,-7.0
2019-2020,35,Granada CF,47.0,-1.0,2.0
2019-2020,35,Athletic,48.0,1.0,9.0
2019-2020,35,CA Osasuna,45.0,2.0,-7.0
2019-2020,35,Levante,43.0,1.0,-5.0
2019-2020,35,Real Betis,38.0,-2.0,-11.0
2019-2020,35,Real Valladolid,39.0,0.0,-9.0
2019-2020,35,Celta de Vigo,35.0,1.0,-10.0
2019-2020,35,SD Eibar,35.0,0.0,-17.0
2019-2020,35,Alavés,35.0,-5.0,-19.0
2019-2020,35,RCD Mallorca,29.0,-2.0,-24.0
2019-2020,35,CD Leganés,28.0,-1.0,-24.0
2019-2020,35,Espanyol,24.0,-5.0,-27.0
2019-2020,34,Real Madrid,74.0,5.0,40.0
2019-2020,34,Barcelona,70.0,2.0,39.0
2019-2020,34,Atlético Madrid,59.0,4.0,18.0
2019-2020,34,Sevilla FC,57.0,1.0,15.0
2019-2020,34,Villarreal,54.0,4.0,13.0
2019-2020,34,Getafe,52.0,0.0,11.0
2019-2020,34,Real Sociedad,50.0,-3.0,8.0
2019-2020,34,Athletic,48.0,2.0,10.0
2019-2020,34,Granada CF,46.0,-1.0,2.0
2019-2020,34,Valencia,46.0,-3.0,-7.0
2019-2020,34,CA Osasuna,44.0,1.0,-7.0
2019-2020,34,Levante,42.0,1.0,-5.0
2019-2020,34,Real Valladolid,36.0,-1.0,-10.0
2019-2020,34,Real Betis,37.0,-2.0,-11.0
2019-2020,34,Celta de Vigo,34.0,1.0,-10.0
2019-2020,34,Alavés,35.0,-3.0,-18.0
2019-2020,34,SD Eibar,35.0,1.0,-16.0
2019-2020,34,RCD Mallorca,29.0,-2.0,-21.0
2019-2020,34,CD Leganés,25.0,-3.0,-25.0
2019-2020,34,Espanyol,24.0,-4.0,-26.0
2019-2020,33,Real Madrid,71.0,5.0,39.0
2019-2020,33,Barcelona,69.0,3.0,39.0
2019-2020,33,Atlético Madrid,58.0,4.0,18.0
2019-2020,33,Sevilla FC,54.0,1.0,12.0
2019-2020,33,Villarreal,51.0,4.0,11.0
2019-2020,33,Getafe,52.0,0.0,12.0
2019-2020,33,Real Sociedad,47.0,-4.0,7.0
2019-2020,33,Athletic,45.0,1.0,8.0
2019-2020,33,Valencia,46.0,-2.0,-5.0
2019-2020,33,Granada CF,43.0,-1.0,0.0
2019-2020,33,CA Osasuna,41.0,0.0,-9.0
2019-2020,33,Levante,41.0,1.0,-5.0
2019-2020,33,Real Betis,37.0,-2.0,-9.0
2019-2020,33,Real Valladolid,35.0,0.0,-10.0
2019-2020,33,Alavés,35.0,-3.0,-16.0
2019-2020,33,SD Eibar,35.0,1.0,-14.0
2019-2020,33,Celta de Vigo,34.0,1.0,-6.0
2019-2020,33,RCD Mallorca,26.0,-4.0,-25.0
2019-2020,33,CD Leganés,25.0,-3.0,-22.0
2019-2020,33,Espanyol,24.0,-2.0,-25.0
2019-2020,32,Real Madrid,68.0,3.0,38.0
2019-2020,32,Barcelona,68.0,4.0,39.0
2019-2020,32,Atlético Madrid,55.0,3.0,17.0
2019-2020,32,Sevilla FC,53.0,1.0,12.0
2019-2020,32,Getafe,49.0,-1.0,11.0
2019-2020,32,Villarreal,48.0,2.0,9.0
2019-2020,32,Real Sociedad,47.0,-4.0,8.0
2019-2020,32,Valencia,46.0,-1.0,-3.0
2019-2020,32,Athletic,42.0,1.0,6.0
2019-2020,32,Granada CF,43.0,0.0,1.0
2019-2020,32,CA Osasuna,38.0,0.0,-10.0
2019-2020,32,Levante,38.0,0.0,-7.0
2019-2020,32,Real Betis,37.0,0.0,-7.0
2019-2020,32,Real Valladolid,34.0,-1.0,-10.0
2019-2020,32,Alavés,35.0,-2.0,-15.0
2019-2020,32,SD Eibar,32.0,-1.0,-15.0
2019-2020,32,Celta de Vigo,33.0,1.0,-6.0
2019-2020,32,RCD Mallorca,26.0,-2.0,-23.0
2019-2020,32,CD Leganés,25.0,-1.0,-21.0
2019-2020,32,Espanyol,24.0,-2.0,-24.0
2019-2020,31,Barcelona,65.0,2.0,38.0
2019-2020,31,Real Madrid,65.0,3.0,36.0
2019-2020,31,Atlético Madrid,52.0,2.0,16.0
2019-2020,31,Sevilla FC,52.0,2.0,12.0
2019-2020,31,Getafe,48.0,0.0,11.0
2019-2020,31,Villarreal,47.0,1.0,9.0
2019-2020,31,Real Sociedad,47.0,-2.0,9.0
2019-2020,31,Valencia,46.0,1.0,-2.0
2019-2020,31,Granada CF,42.0,0.0,1.0
2019-2020,31,Athletic,42.0,3.0,7.0
2019-2020,31,Levante,38.0,0.0,-6.0
2019-2020,31,CA Osasuna,35.0,-2.0,-11.0
2019-2020,31,Real Betis,34.0,-2.0,-8.0
2019-2020,31,Alavés,35.0,-1.0,-14.0
2019-2020,31,Real Valladolid,33.0,-2.0,-10.0
2019-2020,31,Celta de Vigo,30.0,0.0,-7.0
2019-2020,31,SD Eibar,29.0,-1.0,-16.0
2019-2020,31,RCD Mallorca,26.0,-2.0,-21.0
2019-2020,31,CD Leganés,24.0,-1.0,-21.0
2019-2020,31,Espanyol,24.0,-1.0,-23.0
2019-2020,30,Barcelona,64.0,3.0,38.0
2019-2020,30,Real Madrid,62.0,1.0,35.0
2019-2020,30,Sevilla FC,51.0,3.0,12.0
2019-2020,30,Atlético Madrid,49.0,2.0,15.0
2019-2020,30,Getafe,47.0,-1.0,11.0
2019-2020,30,Real Sociedad,47.0,0.0,10.0
2019-2020,30,Villarreal,44.0,-1.0,8.0
2019-2020,30,Valencia,43.0,-1.0,-4.0
2019-2020,30,Granada CF,42.0,2.0,2.0
2019-2020,30,Athletic,39.0,1.0,6.0
2019-2020,30,Levante,35.0,0.0,-8.0
2019-2020,30,Alavés,35.0,1.0,-8.0
2019-2020,30,CA Osasuna,35.0,-2.0,-9.0
2019-2020,30,Real Betis,34.0,-1.0,-7.0
2019-2020,30,Real Valladolid,33.0,0.0,-9.0
2019-2020,30,Celta de Vigo,27.0,0.0,-13.0
2019-2020,30,SD Eibar,28.0,-2.0,-16.0
2019-2020,30,RCD Mallorca,25.0,-2.0,-21.0
2019-2020,30,Espanyol,24.0,-1.0,-21.0
2019-2020,30,CD Leganés,23.0,-2.0,-21.0
2019-2020,29,Barcelona,61.0,3.0,36.0
2019-2020,29,Real Madrid,59.0,0.0,32.0
2019-2020,29,Sevilla FC,50.0,3.0,12.0
2019-2020,29,Atlético Madrid,46.0,1.0,10.0
2019-2020,29,Getafe,46.0,-2.0,11.0
2019-2020,29,Real Sociedad,47.0,2.0,12.0
2019-2020,29,Villarreal,41.0,-1.0,7.0
2019-2020,29,Valencia,43.0,0.0,-1.0
2019-2020,29,Granada CF,41.0,3.0,2.0
2019-2020,29,Athletic,38.0,0.0,6.0
2019-2020,29,Levante,34.0,-1.0,-8.0
2019-2020,29,CA Osasuna,35.0,0.0,-4.0
2019-2020,29,Alavés,32.0,-1.0,-10.0
2019-2020,29,Real Betis,33.0,-1.0,-7.0
2019-2020,29,Real Valladolid,32.0,-1.0,-9.0
2019-2020,29,SD Eibar,27.0,-3.0,-16.0
2019-2020,29,Celta de Vigo,26.0,0.0,-13.0
2019-2020,29,RCD Mallorca,25.0,0.0,-20.0
2019-2020,29,Espanyol,23.0,-1.0,-21.0
2019-2020,29,CD Leganés,23.0,-1.0,-19.0
2019-2020,28,Barcelona,58.0,3.0,32.0
2019-2020,28,Real Madrid,56.0,0.0,30.0
2019-2020,28,Sevilla FC,47.0,1.0,10.0
2019-2020,28,Real Sociedad,46.0,3.0,12.0
2019-2020,28,Getafe,46.0,0.0,12.0
2019-2020,28,Atlético Madrid,45.0,2.0,10.0
2019-2020,28,Valencia,42.0,-1.0,-1.0
2019-2020,28,Granada CF,38.0,1.0,1.0
2019-2020,28,Villarreal,38.0,-2.0,6.0
2019-2020,28,Athletic,37.0,-1.0,6.0
2019-2020,28,CA Osasuna,34.0,-1.0,-4.0
2019-2020,28,Levante,33.0,0.0,-8.0
2019-2020,28,Real Betis,33.0,-1.0,-5.0
2019-2020,28,Alavés,32.0,1.0,-8.0
2019-2020,28,Real Valladolid,29.0,-2.0,-10.0
2019-2020,28,SD Eibar,27.0,-3.0,-14.0
2019-2020,28,Celta de Vigo,26.0,2.0,-12.0
2019-2020,28,RCD Mallorca,25.0,0.0,-16.0
2019-2020,28,Espanyol,20.0,-1.0,-23.0
2019-2020,28,CD Leganés,23.0,-1.0,-18.0
2019-2020,27,Barcelona,55.0,3.0,31.0
2019-2020,27,Real Madrid,56.0,2.0,31.0
2019-2020,27,Sevilla FC,46.0,1.0,10.0
2019-2020,27,Getafe,45.0,1.0,12.0
2019-2020,27,Real Sociedad,46.0,3.0,13.0
2019-2020,27,Atlético Madrid,44.0,1.0,10.0
2019-2020,27,Valencia,41.0,0.0,-1.0
2019-2020,27,Villarreal,38.0,0.0,7.0
2019-2020,27,Granada CF,37.0,2.0,1.0
2019-2020,27,Athletic,34.0,-3.0,3.0
2019-2020,27,CA Osasuna,31.0,-3.0,-5.0
2019-2020,27,Levante,32.0,-1.0,-8.0
2019-2020,27,Real Betis,30.0,-2.0,-6.0
2019-2020,27,Alavés,31.0,1.0,-8.0
2019-2020,27,Real Valladolid,29.0,0.0,-7.0
2019-2020,27,SD Eibar,27.0,-2.0,-13.0
2019-2020,27,Celta de Vigo,25.0,1.0,-12.0
2019-2020,27,RCD Mallorca,22.0,-2.0,-17.0
2019-2020,27,CD Leganés,20.0,-1.0,-19.0
2019-2020,27,Espanyol,20.0,-1.0,-22.0
2019-2020,26,Real Madrid,53.0,2.0,29.0
2019-2020,26,Barcelona,55.0,3.0,33.0
2019-2020,26,Real Sociedad,43.0,3.0,12.0
2019-2020,26,Sevilla FC,43.0,1.0,9.0
2019-2020,26,Getafe,42.0,1.0,11.0
2019-2020,26,Atlético Madrid,43.0,1.0,10.0
2019-2020,26,Valencia,38.0,0.0,-2.0
2019-2020,26,Villarreal,38.0,2.0,8.0
2019-2020,26,Granada CF,36.0,1.0,1.0
2019-2020,26,Athletic,31.0,-4.0,2.0
2019-2020,26,Levante,32.0,-1.0,-5.0
2019-2020,26,Alavés,30.0,0.0,-8.0
2019-2020,26,CA Osasuna,31.0,-1.0,-4.0
2019-2020,26,Real Betis,30.0,-2.0,-5.0
2019-2020,26,Real Valladolid,29.0,0.0,-6.0
2019-2020,26,SD Eibar,24.0,-3.0,-16.0
2019-2020,26,Celta de Vigo,24.0,1.0,-12.0
2019-2020,26,RCD Mallorca,22.0,-2.0,-16.0
2019-2020,26,CD Leganés,19.0,-1.0,-19.0
2019-2020,26,Espanyol,19.0,-1.0,-22.0
2019-2020,25,Barcelona,52.0,3.0,28.0
2019-2020,25,Real Madrid,53.0,4.0,30.0
2019-2020,25,Real Sociedad,40.0,1.0,9.0
2019-2020,25,Atlético Madrid,40.0,-1.0,8.0
2019-2020,25,Sevilla FC,40.0,-1.0,6.0
2019-2020,25,Getafe,42.0,3.0,14.0
2019-2020,25,Valencia,38.0,0.0,1.0
2019-2020,25,Villarreal,38.0,2.0,10.0
2019-2020,25,Granada CF,33.0,-1.0,-2.0
2019-2020,25,Levante,29.0,-3.0,-6.0
2019-2020,25,CA Osasuna,31.0,0.0,-1.0
2019-2020,25,Athletic,31.0,-3.0,3.0
2019-2020,25,Real Betis,29.0,-1.0,-5.0
2019-2020,25,Alavés,27.0,0.0,-9.0
2019-2020,25,Real Valladolid,26.0,-1.0,-7.0
2019-2020,25,Celta de Vigo,21.0,0.0,-13.0
2019-2020,25,SD Eibar,24.0,-1.0,-11.0
2019-2020,25,RCD Mallorca,21.0,-1.0,-16.0
2019-2020,25,CD Leganés,19.0,-1.0,-18.0
2019-2020,25,Espanyol,19.0,1.0,-21.0
2019-2020,24,Real Madrid,52.0,5.0,30.0
2019-2020,24,Barcelona,49.0,2.0,27.0
2019-2020,24,Getafe,42.0,3.0,15.0
2019-2020,24,Sevilla FC,39.0,-1.0,6.0
2019-2020,24,Atlético Madrid,39.0,0.0,8.0
2019-2020,24,Real Sociedad,37.0,-1.0,8.0
2019-2020,24,Valencia,37.0,1.0,1.0
2019-2020,24,Villarreal,35.0,2.0,9.0
2019-2020,24,Granada CF,30.0,-1.0,-3.0
2019-2020,24,Athletic,31.0,-2.0,4.0
2019-2020,24,CA Osasuna,28.0,-1.0,-2.0
2019-2020,24,Levante,29.0,-3.0,-5.0
2019-2020,24,Real Betis,28.0,-1.0,-5.0
2019-2020,24,Alavés,27.0,1.0,-8.0
2019-2020,24,Real Valladolid,26.0,0.0,-6.0
2019-2020,24,SD Eibar,24.0,-1.0,-10.0
2019-2020,24,RCD Mallorca,18.0,-3.0,-17.0
2019-2020,24,Celta de Vigo,20.0,0.0,-13.0
2019-2020,24,CD Leganés,18.0,-1.0,-18.0
2019-2020,24,Espanyol,18.0,1.0,-21.0
2019-2020,23,Real Madrid,49.0,4.0,27.0
2019-2020,23,Barcelona,46.0,2.0,26.0
2019-2020,23,Getafe,39.0,1.0,12.0
2019-2020,23,Atlético Madrid,36.0,0.0,7.0
2019-2020,23,Sevilla FC,39.0,1.0,7.0
2019-2020,23,Real Sociedad,34.0,-1.0,7.0
2019-2020,23,Valencia,37.0,2.0,4.0
2019-2020,23,Villarreal,34.0,3.0,9.0
2019-2020,23,Athletic,31.0,-1.0,5.0
2019-2020,23,Granada CF,30.0,-1.0,-2.0
2019-2020,23,Levante,26.0,-3.0,-7.0
2019-2020,23,CA Osasuna,28.0,-1.0,1.0
2019-2020,23,Real Betis,28.0,-1.0,-4.0
2019-2020,23,Alavés,24.0,-1.0,-9.0
2019-2020,23,Real Valladolid,25.0,0.0,-6.0
2019-2020,23,SD Eibar,24.0,1.0,-9.0
2019-2020,23,Celta de Vigo,17.0,-2.0,-14.0
2019-2020,23,Espanyol,15.0,-1.0,-22.0
2019-2020,23,CD Leganés,18.0,1.0,-16.0
2019-2020,23,RCD Mallorca,18.0,-3.0,-16.0
2019-2020,22,Real Madrid,46.0,3.0,26.0
2019-2020,22,Barcelona,43.0,1.0,25.0
2019-2020,22,Sevilla FC,38.0,0.0,7.0
2019-2020,22,Getafe,36.0,1.0,10.0
2019-2020,22,Valencia,34.0,1.0,3.0
2019-2020,22,Atlético Madrid,36.0,2.0,8.0
2019-2020,22,Villarreal,31.0,3.0,7.0
2019-2020,22,Real Sociedad,34.0,0.0,8.0
2019-2020,22,Athletic,31.0,0.0,7.0
2019-2020,22,Granada CF,27.0,-3.0,-3.0
2019-2020,22,Real Betis,27.0,-1.0,-4.0
2019-2020,22,CA Osasuna,28.0,-1.0,3.0
2019-2020,22,Levante,26.0,-1.0,-6.0
2019-2020,22,Real Valladolid,22.0,-2.0,-7.0
2019-2020,22,SD Eibar,23.0,1.0,-9.0
2019-2020,22,Alavés,23.0,-1.0,-9.0
2019-2020,22,RCD Mallorca,18.0,-2.0,-15.0
2019-2020,22,CD Leganés,15.0,0.0,-17.0
2019-2020,22,Celta de Vigo,17.0,-1.0,-13.0
2019-2020,22,Espanyol,15.0,0.0,-21.0
2019-2020,21,Real Madrid,43.0,3.0,25.0
2019-2020,21,Barcelona,43.0,3.0,27.0
2019-2020,21,Sevilla FC,35.0,-1.0,5.0
2019-2020,21,Atlético Madrid,35.0,2.0,8.0
2019-2020,21,Getafe,33.0,1.0,9.0
2019-2020,21,Valencia,31.0,1.0,1.0
2019-2020,21,Real Sociedad,31.0,-1.0,5.0
2019-2020,21,Athletic,30.0,-1.0,7.0
2019-2020,21,Villarreal,28.0,2.0,6.0
2019-2020,21,CA Osasuna,25.0,-2.0,1.0
2019-2020,21,Granada CF,27.0,-1.0,-1.0
2019-2020,21,Real Betis,27.0,1.0,-3.0
2019-2020,21,Levante,26.0,-1.0,-4.0
2019-2020,21,Alavés,23.0,-1.0,-8.0
2019-2020,21,SD Eibar,22.0,0.0,-9.0
2019-2020,21,Real Valladolid,22.0,-1.0,-6.0
2019-2020,21,RCD Mallorca,18.0,-2.0,-12.0
2019-2020,21,Celta de Vigo,16.0,-2.0,-13.0
2019-2020,21,Espanyol,14.0,-1.0,-21.0
2019-2020,21,CD Leganés,14.0,1.0,-17.0
2019-2020,20,Real Madrid,40.0,3.0,24.0
2019-2020,20,Barcelona,40.0,3.0,26.0
2019-2020,20,Sevilla FC,35.0,1.0,6.0
2019-2020,20,Atlético Madrid,35.0,2.0,10.0
2019-2020,20,Getafe,30.0,1.0,6.0
2019-2020,20,Valencia,31.0,3.0,4.0
2019-2020,20,Real Sociedad,31.0,1.0,8.0
2019-2020,20,Athletic,29.0,0.0,7.0
2019-2020,20,Villarreal,28.0,2.0,7.0
2019-2020,20,Real Betis,24.0,1.0,-6.0
2019-2020,20,Granada CF,27.0,-1.0,0.0
2019-2020,20,Levante,26.0,-1.0,-3.0
2019-2020,20,CA Osasuna,24.0,-1.0,1.0
2019-2020,20,Alavés,20.0,-3.0,-9.0
2019-2020,20,SD Eibar,19.0,-2.0,-11.0
2019-2020,20,Real Valladolid,21.0,-1.0,-6.0
2019-2020,20,RCD Mallorca,15.0,-4.0,-15.0
2019-2020,20,Celta de Vigo,15.0,-2.0,-13.0
2019-2020,20,CD Leganés,14.0,1.0,-14.0
2019-2020,20,Espanyol,11.0,-3.0,-22.0
2019-2020,19,Real Madrid,37.0,3.0,21.0
2019-2020,19,Barcelona,39.0,4.0,26.0
2019-2020,19,Sevilla FC,34.0,2.0,6.0
2019-2020,19,Atlético Madrid,32.0,1.0,9.0
2019-2020,19,Valencia,28.0,1.0,3.0
2019-2020,19,Real Sociedad,31.0,1.0,9.0
2019-2020,19,Getafe,30.0,2.0,9.0
2019-2020,19,Athletic,28.0,1.0,7.0
2019-2020,19,Villarreal,25.0,0.0,6.0
2019-2020,19,Granada CF,24.0,-2.0,-1.0
2019-2020,19,Levante,26.0,1.0,-2.0
2019-2020,19,Real Betis,23.0,2.0,-6.0
2019-2020,19,CA Osasuna,23.0,-2.0,1.0
2019-2020,19,Real Valladolid,20.0,-2.0,-6.0
2019-2020,19,Alavés,19.0,-2.0,-9.0
2019-2020,19,SD Eibar,19.0,-2.0,-10.0
2019-2020,19,Celta de Vigo,14.0,-1.0,-13.0
2019-2020,19,RCD Mallorca,15.0,-4.0,-14.0
2019-2020,19,CD Leganés,13.0,0.0,-14.0
2019-2020,19,Espanyol,10.0,-3.0,-22.0
2019-2020,18,Barcelona,36.0,4.0,23.0
2019-2020,18,Real Madrid,36.0,4.0,21.0
2019-2020,18,Sevilla FC,31.0,2.0,4.0
2019-2020,18,Atlético Madrid,29.0,1.0,8.0
2019-2020,18,Real Sociedad,28.0,0.0,8.0
2019-2020,18,Getafe,30.0,3.0,10.0
2019-2020,18,Valencia,27.0,2.0,3.0
2019-2020,18,Athletic,27.0,2.0,7.0
2019-2020,18,Levante,23.0,-1.0,-4.0
2019-2020,18,Villarreal,22.0,-2.0,5.0
2019-2020,18,Granada CF,24.0,-2.0,2.0
2019-2020,18,CA Osasuna,23.0,-1.0,2.0
2019-2020,18,Real Betis,23.0,2.0,-5.0
2019-2020,18,Real Valladolid,19.0,-3.0,-6.0
2019-2020,18,SD Eibar,16.0,-4.0,-13.0
2019-2020,18,Alavés,19.0,0.0,-6.0
2019-2020,18,RCD Mallorca,15.0,-2.0,-12.0
2019-2020,18,Celta de Vigo,14.0,-1.0,-11.0
2019-2020,18,CD Leganés,10.0,-1.0,-16.0
2019-2020,18,Espanyol,10.0,-3.0,-20.0
2019-2020,17,Barcelona,35.0,3.0,23.0
2019-2020,17,Real Madrid,35.0,4.0,21.0
2019-2020,17,Sevilla FC,31.0,3.0,5.0
2019-2020,17,Getafe,27.0,3.0,8.0
2019-2020,17,Atlético Madrid,26.0,0.0,6.0
2019-2020,17,Real Sociedad,27.0,1.0,8.0
2019-2020,17,Athletic,26.0,2.0,7.0
2019-2020,17,Valencia,26.0,3.0,3.0
2019-2020,17,Granada CF,24.0,-2.0,3.0
2019-2020,17,Levante,20.0,-1.0,-5.0
2019-2020,17,CA Osasuna,23.0,1.0,4.0
2019-2020,17,Real Betis,22.0,2.0,-5.0
2019-2020,17,Villarreal,19.0,-3.0,4.0
2019-2020,17,Alavés,18.0,-1.0,-6.0
2019-2020,17,Real Valladolid,19.0,-1.0,-4.0
2019-2020,17,SD Eibar,15.0,-3.0,-13.0
2019-2020,17,RCD Mallorca,14.0,-3.0,-12.0
2019-2020,17,Celta de Vigo,13.0,-2.0,-11.0
2019-2020,17,Espanyol,9.0,-4.0,-20.0
2019-2020,17,CD Leganés,9.0,-2.0,-16.0
2019-2020,16,Real Madrid,32.0,4.0,19.0
2019-2020,16,Barcelona,32.0,3.0,20.0
2019-2020,16,Sevilla FC,30.0,3.0,5.0
2019-2020,16,Getafe,24.0,3.0,7.0
2019-2020,16,Real Sociedad,26.0,0.0,8.0
2019-2020,16,Atlético Madrid,25.0,0.0,6.0
2019-2020,16,Valencia,23.0,2.0,1.0
2019-2020,16,Athletic,26.0,4.0,8.0
2019-2020,16,Granada CF,21.0,-4.0,0.0
2019-2020,16,CA Osasuna,22.0,1.0,4.0
2019-2020,16,Real Betis,19.0,2.0,-6.0
2019-2020,16,Levante,20.0,1.0,-3.0
2019-2020,16,Villarreal,18.0,-4.0,4.0
2019-2020,16,Real Valladolid,18.0,-2.0,-4.0
2019-2020,16,Alavés,18.0,0.0,-3.0
2019-2020,16,SD Eibar,15.0,-1.0,-12.0
2019-2020,16,RCD Mallorca,14.0,-2.0,-9.0
2019-2020,16,Celta de Vigo,13.0,-2.0,-10.0
2019-2020,16,CD Leganés,6.0,-4.0,-17.0
2019-2020,16,Espanyol,9.0,-4.0,-18.0
2019-2020,15,Real Madrid,29.0,3.0,18.0
2019-2020,15,Barcelona,29.0,2.0,19.0
2019-2020,15,Sevilla FC,27.0,3.0,4.0
2019-2020,15,Real Sociedad,23.0,0.0,5.0
2019-2020,15,Athletic,23.0,2.0,6.0
2019-2020,15,Atlético Madrid,25.0,2.0,7.0
2019-2020,15,Getafe,21.0,1.0,3.0
2019-2020,15,Valencia,20.0,0.0,0.0
2019-2020,15,CA Osasuna,19.0,1.0,2.0
2019-2020,15,Granada CF,21.0,-2.0,2.0
2019-2020,15,Levante,20.0,1.0,1.0
2019-2020,15,Real Betis,16.0,0.0,-7.0
2019-2020,15,Alavés,18.0,0.0,-2.0
2019-2020,15,Real Valladolid,17.0,-1.0,-4.0
2019-2020,15,Villarreal,18.0,-2.0,5.0
2019-2020,15,SD Eibar,15.0,-1.0,-9.0
2019-2020,15,RCD Mallorca,14.0,-2.0,-8.0
2019-2020,15,Celta de Vigo,12.0,-3.0,-10.0
2019-2020,15,Espanyol,9.0,-2.0,-16.0
2019-2020,15,CD Leganés,6.0,-2.0,-16.0
2019-2020,14,Real Madrid,26.0,1.0,16.0
2019-2020,14,Barcelona,26.0,2.0,18.0
2019-2020,14,Sevilla FC,24.0,3.0,3.0
2019-2020,14,Atlético Madrid,24.0,2.0,7.0
2019-2020,14,Real Sociedad,23.0,2.0,7.0
2019-2020,14,Athletic,20.0,1.0,5.0
2019-2020,14,Granada CF,20.0,-1.0,2.0
2019-2020,14,Getafe,20.0,2.0,3.0
2019-2020,14,Levante,17.0,-1.0,0.0
2019-2020,14,Valencia,20.0,1.0,1.0
2019-2020,14,CA Osasuna,19.0,1.0,3.0
2019-2020,14,Villarreal,18.0,0.0,7.0
2019-2020,14,Alavés,15.0,0.0,-4.0
2019-2020,14,Real Valladolid,17.0,0.0,-3.0
2019-2020,14,Real Betis,13.0,-2.0,-8.0
2019-2020,14,SD Eibar,15.0,-1.0,-7.0
2019-2020,14,RCD Mallorca,14.0,0.0,-7.0
2019-2020,14,Celta de Vigo,9.0,-5.0,-12.0
2019-2020,14,Espanyol,8.0,-3.0,-16.0
2019-2020,14,CD Leganés,6.0,-2.0,-15.0
2019-2020,13,Barcelona,23.0,2.0,15.0
2019-2020,13,Real Madrid,23.0,1.0,12.0
2019-2020,13,Atlético Madrid,21.0,1.0,5.0
2019-2020,13,Sevilla FC,21.0,1.0,2.0
