season,division,team,Pts,GD,date1
2017-2018,1,SD Eibar,51,-6,2017
2017-2018,1,Sevilla FC,58,-9,2017
2017-2018,1,UD Las Palmas,22,-50,2017
2017-2018,1,Valencia,73,27,2017
2017-2018,1,Villarreal,61,7,2017
2017-2018,2,Albacete,49,-11,2017
2017-2018,2,Alcorcón,52,-5,2017
2017-2018,2,Barcelona B,44,-8,2017
2017-2018,2,CA Osasuna,64,10,2017
2017-2018,2,CD Lugo,55,-9,2017
2017-2018,2,CD Numancia,65,11,2017
2017-2018,2,CD Tenerife,59,8,2017
2017-2018,2,CyD Leonesa,48,-13,2017
2017-2018,2,Cádiz CF,64,13,2017
2017-2018,2,Córdoba CF,51,-8,2017
2017-2018,2,Gimnàstic,52,-6,2017
2017-2018,2,Granada CF,61,5,2017
2017-2018,2,Lorca FC,33,-31,2017
2017-2018,2,Rayo Vallecano,76,19,2017
2017-2018,2,Real Oviedo,65,6,2017
2017-2018,2,Real Valladolid,67,14,2017
2017-2018,2,Real Zaragoza,71,13,2017
2017-2018,2,Reus Deportiu,52,-11,2017
2017-2018,2,SD Huesca,75,21,2017
2017-2018,2,Sevilla Atl.,32,-31,2017
2017-2018,2,Sporting Gijón,71,20,2017
2017-2018,2,UD Almería,48,-7,2017
2018-2019,1,Alavés,50,-11,2018
2018-2019,1,Athletic,53,-4,2018
2018-2019,1,Atlético Madrid,76,26,2018
2018-2019,1,Barcelona,87,54,2018
2018-2019,1,CD Leganés,45,-6,2018
2018-2019,1,Celta de Vigo,41,-9,2018
2018-2019,1,Espanyol,53,-2,2018
2018-2019,1,Getafe,59,13,2018
2018-2019,1,Girona,37,-16,2018
2018-2019,1,Levante,44,-7,2018
2018-2019,1,Rayo Vallecano,32,-29,2018
2018-2019,1,Real Betis,50,-8,2018
2018-2019,1,Real Madrid,68,17,2018
2018-2019,1,Real Sociedad,50,-1,2018
2018-2019,1,Real Valladolid,41,-19,2018
2018-2019,1,SD Eibar,47,-4,2018
2018-2019,1,SD Huesca,33,-22,2018
2018-2019,1,Sevilla FC,59,15,2018
2018-2019,1,Valencia,61,16,2018
2018-2019,1,Villarreal,44,-3,2018
2018-2019,2,Albacete,71,16,2018
2018-2019,2,Alcorcón,52,-6,2018
2018-2019,2,CA Osasuna,87,24,2018
2018-2019,2,CD Lugo,47,-8,2018
2018-2019,2,CD Numancia,49,-6,2018
2018-2019,2,CD Tenerife,50,-10,2018
2018-2019,2,Cádiz CF,64,17,2018
2018-2019,2,Córdoba CF,34,-31,2018
2018-2019,2,Dep. La Coruña,68,18,2018
2018-2019,2,Elche CF,55,-3,2018
2018-2019,2,Extremadura,53,-4,2018
2018-2019,2,Gimnàstic,36,-33,2018
2018-2019,2,Granada CF,79,24,2018
2018-2019,2,Málaga CF,74,20,2018
2018-2019,2,R. Majadahonda,45,-15,2018
2018-2019,2,RCD Mallorca,69,16,2018
2018-2019,2,Real Oviedo,63,0,2018
2018-2019,2,Real Zaragoza,51,-2,2018
2018-2019,2,Reus Deportiu,21,-32,2018
2018-2019,2,Sporting Gijón,61,5,2018
2018-2019,2,UD Almería,60,12,2018
2018-2019,2,UD Las Palmas,54,-2,2018
2019-2020,1,Alavés,39,-25,2019
2019-2020,1,Athletic,51,3,2019
2019-2020,1,Atlético Madrid,70,24,2019
2019-2020,1,Barcelona,82,48,2019
2019-2020,1,CA Osasuna,52,-8,2019
2019-2020,1,CD Leganés,36,-21,2019
2019-2020,1,Celta de Vigo,37,-12,2019
2019-2020,1,Espanyol,25,-31,2019
2019-2020,1,Getafe,54,6,2019
2019-2020,1,Granada CF,56,7,2019
2019-2020,1,Levante,49,-6,2019
2019-2020,1,RCD Mallorca,33,-25,2019
2019-2020,1,Real Betis,41,-12,2019
2019-2020,1,Real Madrid,87,45,2019
2019-2020,1,Real Sociedad,56,8,2019
2019-2020,1,Real Valladolid,42,-11,2019
2019-2020,1,SD Eibar,42,-17,2019
2019-2020,1,Sevilla FC,70,20,2019
2019-2020,1,Valencia,53,-7,2019
2019-2020,1,Villarreal,60,14,2019
2019-2020,2,Albacete,52,-10,2019
2019-2020,2,Alcorcón,57,2,2019
2019-2020,2,CD Lugo,52,-11,2019
2019-2020,2,CD Mirandés,56,-4,2019
2019-2020,2,CD Numancia,50,-8,2019
2019-2020,2,CD Tenerife,55,4,2019
2019-2020,2,CF Fuenlabrada,60,7,2019
2019-2020,2,Cádiz CF,69,11,2019
2019-2020,2,Dep. La Coruña,51,-17,2019
2019-2020,2,Elche CF,61,8,2019
2019-2020,2,Extremadura,43,-16,2019
2019-2020,2,Girona,63,5,2019
2019-2020,2,Málaga CF,53,2,2019
2019-2020,2,Ponferradina,51,-5,2019
2019-2020,2,Racing,33,-17,2019
2019-2020,2,Rayo Vallecano,60,10,2019
2019-2020,2,Real Oviedo,53,-4,2019
2019-2020,2,Real Zaragoza,65,6,2019
2019-2020,2,SD Huesca,70,13,2019
2019-2020,2,Sporting Gijón,54,2,2019
2019-2020,2,UD Almería,64,19,2019
2019-2020,2,UD Las Palmas,57,3,2019
